import time: self [us] | cumulative | imported package
import time:       628 |        628 |   _io
import time:       127 |        127 |   marshal
import time:       653 |        653 |   posix
import time:      1965 |       3372 | _frozen_importlib_external
import time:      1635 |       1635 |   time
import time:       723 |       2357 | zipimport
import time:       209 |        209 |     _codecs
import time:      1823 |       2032 |   codecs
import time:      1781 |       1781 |   encodings.aliases
import time:      2265 |       6077 | encodings
import time:      1071 |       1071 | encodings.utf_8
import time:       327 |        327 | _signal
import time:       105 |        105 |       _abc
import time:       504 |        608 |     abc
import time:       138 |        138 |       _stat
import time:       289 |        427 |     stat
import time:      2509 |       2509 |     _collections_abc
import time:       169 |        169 |       errno
import time:       269 |        269 |       genericpath
import time:       433 |        869 |     posixpath
import time:      1680 |       6092 |   os
import time:       266 |        266 |   _sitebuiltins
import time:      1030 |       1030 |   sitecustomize
import time:      2161 |       9547 | site
import time:      1405 |       1405 | linecache
import time:       911 |        911 |   markitdown.__about__
import time:       244 |        244 |       _winapi
import time:       195 |        195 |       winreg
import time:      1341 |       1780 |     mimetypes
import time:       112 |        112 |           _types
import time:       985 |       1097 |         types
import time:      3889 |       4985 |       enum
import time:       180 |        180 |         _sre
import time:       903 |        903 |           re._constants
import time:      1157 |       2060 |         re._parser
import time:       459 |        459 |         re._casefix
import time:      1258 |       3955 |       re._compiler
import time:       284 |        284 |           itertools
import time:       687 |        687 |           keyword
import time:       158 |        158 |             _operator
import time:       997 |       1154 |           operator
import time:       803 |        803 |           reprlib
import time:       249 |        249 |           _collections
import time:      2709 |       5884 |         collections
import time:       162 |        162 |         _functools
import time:      1995 |       8040 |       functools
import time:       915 |        915 |       copyreg
import time:      2504 |      20397 |     re
import time:      1281 |       1281 |       fnmatch
import time:      1883 |       1883 |       zlib
import time:       690 |        690 |           compression
import time:       847 |       1536 |         compression._common
import time:       653 |        653 |           io
import time:      1041 |       1693 |         compression._common._streams
import time:      1448 |       1448 |         _bz2
import time:      1250 |       5927 |       bz2
import time:      2056 |       2056 |         _lzma
import time:      1020 |       3076 |       lzma
import time:      2770 |       2770 |         _zstd
import time:      1205 |       1205 |         compression.zstd._zstdfile
import time:      2470 |       6443 |       compression.zstd
import time:      2378 |      20987 |     shutil
import time:      3037 |       3037 |       textwrap
import time:       104 |        104 |           _contextvars
import time:      1561 |       1664 |         _py_warnings
import time:       877 |       2540 |       warnings
import time:       782 |        782 |         __future__
import time:       817 |       1598 |       codeop
import time:       834 |        834 |         token
import time:       125 |        125 |         _tokenize
import time:      2851 |       3809 |       tokenize
import time:      3041 |       3041 |               _weakrefset
import time:      1447 |       4488 |             weakref
import time:       802 |       5289 |           copy
import time:      4514 |       4514 |                 _ast
import time:      1420 |       5934 |               ast
import time:      1847 |       7780 |             annotationlib
import time:        92 |         92 |                 _opcode
import time:       765 |        765 |                 _opcode_metadata
import time:       974 |       1829 |               opcode
import time:      2690 |       4519 |             dis
import time:       635 |        635 |               importlib
import time:       208 |        842 |             importlib.machinery
import time:      5680 |      18819 |           inspect
import time:      1944 |      26051 |         dataclasses
import time:     13578 |      39629 |       _colorize
import time:      2390 |       2390 |       contextlib
import time:      2548 |      55548 |     traceback
import time:      2233 |       2233 |             _json
import time:      1519 |       3751 |           json.scanner
import time:      2234 |       5985 |         json.decoder
import time:      1382 |       1382 |         json.encoder
import time:       919 |       8286 |       json
import time:       760 |        760 |       email
import time:       260 |        260 |           _winapi
import time:       197 |        197 |           nt
import time:       175 |        175 |           nt
import time:       175 |        175 |           nt
import time:       162 |        162 |           nt
import time:       166 |        166 |           nt
import time:       165 |        165 |           nt
import time:       164 |        164 |           nt
import time:       674 |       2133 |         ntpath
import time:      1633 |       1633 |         glob
import time:       129 |        129 |         pwd
import time:      1797 |       1797 |         grp
import time:      2264 |       2264 |           fcntl
import time:       254 |        254 |           _winapi
import time:      1333 |       3849 |         pathlib._os
import time:      2169 |      11707 |       pathlib
import time:      2037 |       2037 |         binascii
import time:       633 |        633 |           importlib._abc
import time:       502 |       1134 |         importlib.util
import time:      1939 |       1939 |           _struct
import time:       613 |       2551 |         struct
import time:      1773 |       1773 |         threading
import time:       791 |        791 |           zipfile._path.glob
import time:      1354 |       2144 |         zipfile._path
import time:      2577 |      12214 |       zipfile
