category,name,page_url,price,product_id,rating,source
commerce,Scrapy Fixture Product 01,http://127.0.0.1:64731/static/catalog?page=1,$17.90,1,2 stars,native_static_catalog
ops,Scrapy Fixture Product 02,http://127.0.0.1:64731/static/catalog?page=1,$20.80,2,3 stars,native_static_catalog
analytics,Scrapy Fixture Product 03,http://127.0.0.1:64731/static/catalog?page=1,$23.70,3,4 stars,native_static_catalog
commerce,Scrapy Fixture Product 04,http://127.0.0.1:64731/static/catalog?page=1,$26.60,4,5 stars,native_static_catalog
ops,Scrapy Fixture Product 05,http://127.0.0.1:64731/static/catalog?page=1,$29.50,5,1 stars,native_static_catalog
analytics,Scrapy Fixture Product 06,http://127.0.0.1:64731/static/catalog?page=1,$32.40,6,2 stars,native_static_catalog
commerce,Scrapy Fixture Product 07,http://127.0.0.1:64731/static/catalog?page=2,$35.30,7,3 stars,native_static_catalog
ops,Scrapy Fixture Product 08,http://127.0.0.1:64731/static/catalog?page=2,$38.20,8,4 stars,native_static_catalog
analytics,Scrapy Fixture Product 09,http://127.0.0.1:64731/static/catalog?page=2,$41.10,9,5 stars,native_static_catalog
commerce,Scrapy Fixture Product 10,http://127.0.0.1:64731/static/catalog?page=2,$44.00,10,1 stars,native_static_catalog
ops,Scrapy Fixture Product 11,http://127.0.0.1:64731/static/catalog?page=2,$46.90,11,2 stars,native_static_catalog
analytics,Scrapy Fixture Product 12,http://127.0.0.1:64731/static/catalog?page=2,$49.80,12,3 stars,native_static_catalog
