size,parser,iters_per_run,runs,p50_median_ms,p50_min_ms,p50_max_ms,p50_spread_pct,p90_median_ms,p99_median_ms,note
1kb,selectolax_lexbor,50,3,0.0269,0.0246,0.027,8.92,0.0277,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1kb,selectolax_modest,50,3,0.029,0.0272,0.0292,6.9,0.0296,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1kb,lxml,50,3,0.0359,0.0358,0.0371,3.62,0.0387,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1kb,parsel,50,3,0.0436,0.0427,0.0436,2.06,0.0444,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1kb,bs4_lxml,50,3,0.2815,0.2733,0.2854,4.3,0.3065,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1kb,bs4_htmlparser,50,3,0.3226,0.3223,0.3274,1.58,0.3403,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10kb,selectolax_lexbor,50,3,0.1598,0.159,0.162,1.88,0.1619,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10kb,selectolax_modest,50,3,0.1708,0.1687,0.1713,1.52,0.1739,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10kb,lxml,50,3,0.1657,0.1645,0.166,0.91,0.1685,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10kb,parsel,50,3,0.2278,0.226,0.2298,1.67,0.2333,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10kb,bs4_lxml,50,3,1.7046,1.6815,1.7726,5.34,1.7779,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10kb,bs4_htmlparser,50,3,2.0487,2.0052,2.1083,5.03,2.0743,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
100kb,selectolax_lexbor,50,3,1.4645,1.4452,1.4803,2.4,1.5818,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
100kb,selectolax_modest,50,3,1.5647,1.5348,1.5662,2.01,1.6186,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
100kb,lxml,50,3,1.4228,1.3968,1.4348,2.67,1.5345,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
100kb,parsel,50,3,2.0197,1.988,2.0655,3.84,2.131,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
100kb,bs4_lxml,50,3,16.5403,16.2727,17.4008,6.82,17.8761,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
100kb,bs4_htmlparser,50,3,20.5992,20.3543,21.5104,5.61,21.6817,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1mb,selectolax_lexbor,50,3,14.9007,14.1804,15.3742,8.01,16.4365,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1mb,selectolax_modest,50,3,16.9433,16.167,17.6182,8.57,17.456,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1mb,lxml,50,3,14.1769,14.0659,15.9578,13.34,15.2945,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1mb,parsel,50,3,20.9348,20.2027,22.3144,10.09,22.311,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
1mb,bs4_lxml,30,3,181.8553,173.604,189.8974,8.96,199.4257,,suppressed: n=30<100; p90 shown is ~30th-largest single sample
1mb,bs4_htmlparser,20,3,232.558,219.5413,241.1147,9.28,253.7034,,suppressed: n=20<100; p90 shown is ~20th-largest single sample
10mb,selectolax_lexbor,50,3,159.9348,153.25,160.3025,4.41,168.9577,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10mb,selectolax_modest,50,3,247.9453,243.5288,254.5503,4.45,257.7305,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10mb,lxml,50,3,172.933,168.3967,175.6821,4.21,178.3302,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10mb,parsel,50,3,231.8515,228.7164,235.7757,3.04,237.5904,,suppressed: n=50<100; p90 shown is ~50th-largest single sample
10mb,bs4_lxml,10,3,2261.5572,2187.1274,2268.256,3.59,2312.2939,,suppressed: n=10<100; p90 shown is ~10th-largest single sample
10mb,bs4_htmlparser,5,3,2788.7457,2736.9383,2844.4625,3.86,2879.3099,,suppressed: n=5<100; p90 shown is ~5th-largest single sample
